edge_id,node_name,time_slot,edge_name_description,group_name,role
37,Liam Thorne,2040-10-01 10:51:00,"Liam, this is Oceanus City Council. We've received reports from Paackland Harbor about increased tourism vessels near Nemo Reef. Please coordinate with harbor masters to enhance conservation patrols and consider temporary additional signage for protected areas.",4,person
39,The Middleman,2040-10-01 10:53:00,"Mrs. Money, this is The Middleman. I can meet this evening to discuss the Nemo Reef loophole before your meeting with Boss. Council just flagged increased vessel activity there - perfect timing for our plans. 7PM at the cafe?",4,pseudonym
39,Mrs. Money,2040-10-01 10:53:00,"Mrs. Money, this is The Middleman. I can meet this evening to discuss the Nemo Reef loophole before your meeting with Boss. Council just flagged increased vessel activity there - perfect timing for our plans. 7PM at the cafe?",4,pseudonym
40,The Middleman,2040-10-01 10:55:00,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfectly. I'll bring those financial projections on the Nemo Reef opportunity. I've also identified potential funding sources that won't raise flags with regulators.",4,pseudonym
40,Mrs. Money,2040-10-01 10:55:00,"The Middleman, it's Mrs. Money. 7PM at the cafe works perfectly. I'll bring those financial projections on the Nemo Reef opportunity. I've also identified potential funding sources that won't raise flags with regulators.",4,pseudonym
43,Liam Thorne,2040-10-01 10:56:00,"Council, this is Liam Thorne. I've reviewed the Nemo Reef reports and am coordinating with harbor masters as requested. Will implement additional signage by tomorrow and increase patrols this weekend. Sending full action plan by end of day.",4,person
43,Oceanus City Council,2040-10-01 10:56:00,"Council, this is Liam Thorne. I've reviewed the Nemo Reef reports and am coordinating with harbor masters as requested. Will implement additional signage by tomorrow and increase patrols this weekend. Sending full action plan by end of day.",4,vessel
45,Oceanus City Council,2040-10-01 10:58:00,"Paackland Harbor, this is Oceanus City Council. We've received your report and are taking action. Liam Thorne is coordinating additional signage installation tomorrow and increased patrols this weekend. Full action plan forthcoming. Thank you for your vigilance.",4,vessel
45,Paackland Harbor,2040-10-01 10:58:00,"Paackland Harbor, this is Oceanus City Council. We've received your report and are taking action. Liam Thorne is coordinating additional signage installation tomorrow and increased patrols this weekend. Full action plan forthcoming. Thank you for your vigilance.",4,vessel
48,Paackland Harbor,2040-10-01 11:01:00,"Reef Guardian, Paackland Harbor here. We're seeing increased tourism activity near Nemo Reef's protected zones. Please increase monitoring patrols in that area over the next 48 hours. Oceanus Council is adding signage tomorrow. Confirm when possible.",4,vessel
48,Reef Guardian,2040-10-01 11:01:00,"Reef Guardian, Paackland Harbor here. We're seeing increased tourism activity near Nemo Reef's protected zones. Please increase monitoring patrols in that area over the next 48 hours. Oceanus Council is adding signage tomorrow. Confirm when possible.",4,vessel
50,Marlin,2040-10-01 11:02:00,"Himark Harbor, this is Marlin. Another day with half-empty nets while burning through fuel that costs double what it did last year. These new catch quotas are killing us local fishermen. Conservation sounds nice until families can't put food on the table.",3,vessel
50,Himark Harbor,2040-10-01 11:02:00,"Himark Harbor, this is Marlin. Another day with half-empty nets while burning through fuel that costs double what it did last year. These new catch quotas are killing us local fishermen. Conservation sounds nice until families can't put food on the table.",3,vessel
51,Himark Harbor,2040-10-01 11:03:00,Himark Harbor to Marlin. We understand your concerns about the catch quotas. We've noted your feedback and will relay it to the Oceanus City Council at our next meeting. Is there anything else you need from harbor services today?,4,vessel
51,Marlin,2040-10-01 11:03:00,Himark Harbor to Marlin. We understand your concerns about the catch quotas. We've noted your feedback and will relay it to the Oceanus City Council at our next meeting. Is there anything else you need from harbor services today?,4,vessel
53,Marlin,2040-10-01 11:06:00,"Oceanus City Council, this is Marlin. These new regulations are destroying our livelihood. Fuel costs doubled while catch limits halved. Five generations of my family fished these waters. Now we can barely break even. Please reconsider before there are no local fishermen left.",3,vessel
53,Oceanus City Council,2040-10-01 11:06:00,"Oceanus City Council, this is Marlin. These new regulations are destroying our livelihood. Fuel costs doubled while catch limits halved. Five generations of my family fished these waters. Now we can barely break even. Please reconsider before there are no local fishermen left.",3,vessel
54,Oceanus City Council,2040-10-01 11:09:00,"Marlin, this is Oceanus City Council. We hear your concerns about the fishing regulations. Let's schedule a community forum next week to discuss sustainable solutions that balance conservation needs with fishermen's livelihoods. Please confirm your availability.",3,vessel
54,Marlin,2040-10-01 11:09:00,"Marlin, this is Oceanus City Council. We hear your concerns about the fishing regulations. Let's schedule a community forum next week to discuss sustainable solutions that balance conservation needs with fishermen's livelihoods. Please confirm your availability.",3,vessel
59,Mako,2040-10-01 11:10:00,Mako to Remora. How's visibility in your sector? We've documented good conditions at Azure Cove and challenging currents at Dolphin Bay. Planning to rendezvous at Himark's south dock at 16:00 as scheduled. Over.,4,vessel
59,Remora,2040-10-01 11:10:00,Mako to Remora. How's visibility in your sector? We've documented good conditions at Azure Cove and challenging currents at Dolphin Bay. Planning to rendezvous at Himark's south dock at 16:00 as scheduled. Over.,4,vessel
62,Green Guardians,2040-10-01 11:40:00,"Reef Guardian, Green Guardians HQ here. We've noted increased tourism vessel activity near protected areas, especially around Nemo Reef. Please maintain extra vigilance over the next two weeks and report any regulation violations immediately.",4,vessel
62,Reef Guardian,2040-10-01 11:40:00,"Reef Guardian, Green Guardians HQ here. We've noted increased tourism vessel activity near protected areas, especially around Nemo Reef. Please maintain extra vigilance over the next two weeks and report any regulation violations immediately.",4,vessel
64,Samantha Blake,2040-10-01 12:26:00,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepared the initial event coordination outline for your music video shoot. Please confirm the Nemo Reef location so I can secure proper permits and arrange necessary equipment rentals.",4,person
64,Sailor Shifts Team,2040-10-01 12:26:00,"Hello Sailor Shifts Team, this is Samantha Blake. I've prepared the initial event coordination outline for your music video shoot. Please confirm the Nemo Reef location so I can secure proper permits and arrange necessary equipment rentals.",4,vessel
66,Glitters Team,2040-10-01 12:27:00,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef as our primary location. We need permits for the northwest section specifically. Our reconnaissance showed optimal lighting conditions there. Please prioritize environmental compliance documentation.",4,vessel
66,Samantha Blake,2040-10-01 12:27:00,"Hi Samantha, Glitters Team here. We're confirming Nemo Reef as our primary location. We need permits for the northwest section specifically. Our reconnaissance showed optimal lighting conditions there. Please prioritize environmental compliance documentation.",4,person
67,Samantha Blake,2040-10-01 12:29:00,"Hello Oceanus City Council, this is Samantha Blake. I'm submitting a permit application for a music video shoot at Nemo Reef's northwest section in two weeks. Could you please advise on specific environmental compliance requirements for this protected area?",4,person
67,Oceanus City Council,2040-10-01 12:29:00,"Hello Oceanus City Council, this is Samantha Blake. I'm submitting a permit application for a music video shoot at Nemo Reef's northwest section in two weeks. Could you please advise on specific environmental compliance requirements for this protected area?",4,vessel
69,Sentinel,2040-10-01 12:34:00,"Green Guardians, this is Sentinel. While patrolling western boundary of protected areas, I've observed increased tourism vessel activity near Nemo Reef. Recommend discussing inconsistent enforcement at upcoming community meeting. Sending detailed water quality report separately.",4,vessel
69,Green Guardians,2040-10-01 12:34:00,"Green Guardians, this is Sentinel. While patrolling western boundary of protected areas, I've observed increased tourism vessel activity near Nemo Reef. Recommend discussing inconsistent enforcement at upcoming community meeting. Sending detailed water quality report separately.",4,vessel
72,Green Guardians,2040-10-01 12:37:00,"Horizon, Green Guardians HQ here. We're seeing increased tourism activity near protected areas, particularly Nemo Reef. Please coordinate with Sentinel on the western boundary and document any regulation violations. Extra patrols requested for the next two weeks.",4,vessel
72,Horizon,2040-10-01 12:37:00,"Horizon, Green Guardians HQ here. We're seeing increased tourism activity near protected areas, particularly Nemo Reef. Please coordinate with Sentinel on the western boundary and document any regulation violations. Extra patrols requested for the next two weeks.",4,vessel
76,Horizon,2040-10-01 12:39:00,"Sentinel, this is Horizon. Received coordinates from Green Guardians about increased tourism near Nemo Reef. I'll monitor the eastern boundary while you take western. Let's document any violations and compare notes at 1800 hours.",4,vessel
76,Sentinel,2040-10-01 12:39:00,"Sentinel, this is Horizon. Received coordinates from Green Guardians about increased tourism near Nemo Reef. I'll monitor the eastern boundary while you take western. Let's document any violations and compare notes at 1800 hours.",4,vessel
79,Sentinel,2040-10-01 12:40:00,"Horizon, this is Sentinel. Confirming western boundary patrol. Documented three tourism vessels approaching Nemo Reef's protected zones in the last hour. Will transmit coordinates and photographic evidence. See you at 1800 for debrief.",4,vessel
79,Horizon,2040-10-01 12:40:00,"Horizon, this is Sentinel. Confirming western boundary patrol. Documented three tourism vessels approaching Nemo Reef's protected zones in the last hour. Will transmit coordinates and photographic evidence. See you at 1800 for debrief.",4,vessel
85,Green Guardians,2040-10-01 12:44:00,"Seawatch, Green Guardians HQ here. We need additional monitoring around Nemo Reef's southern boundary. Horizon and Sentinel have reported multiple tourism vessels crossing protected zones. Please coordinate patrol schedule with them for the next two weeks.",4,vessel
85,Seawatch,2040-10-01 12:44:00,"Seawatch, Green Guardians HQ here. We need additional monitoring around Nemo Reef's southern boundary. Horizon and Sentinel have reported multiple tourism vessels crossing protected zones. Please coordinate patrol schedule with them for the next two weeks.",4,vessel
87,The Lookout,2040-10-02 08:04:00,The Lookout here! Just spotted some rare sea turtles near Nemo Reef this afternoon. Magnificent creatures! Don't forget about our birdwatching trip tomorrow at 7 AM. The weather looks perfect for spotting those migratory species!,4,pseudonym
87,Sam,2040-10-02 08:04:00,The Lookout here! Just spotted some rare sea turtles near Nemo Reef this afternoon. Magnificent creatures! Don't forget about our birdwatching trip tomorrow at 7 AM. The weather looks perfect for spotting those migratory species!,4,person
89,The Intern,2040-10-02 08:07:00,"Mrs. Money, it's The Intern. I wanted to follow up on my earlier message about any tasks you need help with today. Also, The Lookout mentioned spotting sea turtles near Nemo Reef. Should we be aware of any conservation concerns there?",4,pseudonym
89,Mrs. Money,2040-10-02 08:07:00,"Mrs. Money, it's The Intern. I wanted to follow up on my earlier message about any tasks you need help with today. Also, The Lookout mentioned spotting sea turtles near Nemo Reef. Should we be aware of any conservation concerns there?",4,pseudonym
90,Mrs. Money,2040-10-02 08:09:00,"Intern, it's Mrs. Money. Yes, we're aware of conservation concerns at Nemo Reef. Those sea turtle sightings are precisely why we need careful financial planning. I'll need you to compile some public conservation reports for our records.",4,pseudonym
90,The Intern,2040-10-02 08:09:00,"Intern, it's Mrs. Money. Yes, we're aware of conservation concerns at Nemo Reef. Those sea turtle sightings are precisely why we need careful financial planning. I'll need you to compile some public conservation reports for our records.",4,pseudonym
91,Mrs. Money,2040-10-02 08:11:00,"Intern, Mrs. Money here. Focus specifically on turtle migration patterns and protected breeding grounds in the Nemo Reef conservation reports. Also gather any information about current protection zone boundaries and recent enforcement actions. This is critical for our meeting tomorrow.",4,pseudonym
91,The Intern,2040-10-02 08:11:00,"Intern, Mrs. Money here. Focus specifically on turtle migration patterns and protected breeding grounds in the Nemo Reef conservation reports. Also gather any information about current protection zone boundaries and recent enforcement actions. This is critical for our meeting tomorrow.",4,pseudonym
92,The Intern,2040-10-02 08:13:00,"Hey The Lookout, The Intern here! Just finished gathering those conservation reports for Mrs. Money. Looking forward to our birdwatching tomorrow at 7 AM. Quick question - how close were those sea turtles to shore when you spotted them?",4,pseudonym
92,The Lookout,2040-10-02 08:13:00,"Hey The Lookout, The Intern here! Just finished gathering those conservation reports for Mrs. Money. Looking forward to our birdwatching tomorrow at 7 AM. Quick question - how close were those sea turtles to shore when you spotted them?",4,pseudonym
94,The Lookout,2040-10-02 08:15:00,"The Lookout here! Those sea turtles were pretty close to shore, maybe 50 yards out from Nemo Reef. Unusual to see them so close! Don't forget your sunscreen tomorrow - forecast says it'll be bright. See you at Sunrise Point!",4,pseudonym
94,Sam,2040-10-02 08:15:00,"The Lookout here! Those sea turtles were pretty close to shore, maybe 50 yards out from Nemo Reef. Unusual to see them so close! Don't forget your sunscreen tomorrow - forecast says it'll be bright. See you at Sunrise Point!",4,person
95,Haacklee Harbor,2040-10-02 08:50:00,Haacklee Harbor responding to Osprey inquiry. We have three vessels available for charter this week. Noticed you were redirected from Mako's crew? Interesting how many vessels are asking about eastern waters lately. Let me know your requirements.,2,vessel
95,Osprey,2040-10-02 08:50:00,Haacklee Harbor responding to Osprey inquiry. We have three vessels available for charter this week. Noticed you were redirected from Mako's crew? Interesting how many vessels are asking about eastern waters lately. Let me know your requirements.,2,vessel
97,Osprey,2040-10-02 08:52:00,"Mako, this is Osprey. Wondering if you're available for charter tomorrow for a group of tourists wanting to explore the bay area? I was redirected from your crew to Haacklee Harbor, but would prefer working with you.",2,vessel
97,Mako,2040-10-02 08:52:00,"Mako, this is Osprey. Wondering if you're available for charter tomorrow for a group of tourists wanting to explore the bay area? I was redirected from your crew to Haacklee Harbor, but would prefer working with you.",2,vessel
99,Mako,2040-10-02 08:54:00,"Himark Harbor, this is Mako. We'll remain docked at slip #14 today. Davis and the Sailors team departed at 0600 for city offices to file special event paperwork. Vessel is undergoing routine maintenance until their return.",4,vessel
99,Himark Harbor,2040-10-02 08:54:00,"Himark Harbor, this is Mako. We'll remain docked at slip #14 today. Davis and the Sailors team departed at 0600 for city offices to file special event paperwork. Vessel is undergoing routine maintenance until their return.",4,vessel
100,Himark Harbor,2040-10-02 08:56:00,Himark Harbor to Oceanus City Council. Daily report: Minimal vessel activity today. Mako and Remora remain docked. Sailors Team representatives traveled to City Hall for event permission paperwork. Marlin has expressed concerns about catch quotas affecting local fishermen.,4,vessel
100,Oceanus City Council,2040-10-02 08:56:00,Himark Harbor to Oceanus City Council. Daily report: Minimal vessel activity today. Mako and Remora remain docked. Sailors Team representatives traveled to City Hall for event permission paperwork. Marlin has expressed concerns about catch quotas affecting local fishermen.,4,vessel
102,Oceanus City Council,2040-10-02 08:59:00,"Samantha, this is Oceanus City Council. Regarding your Nemo Reef permit application - filming in protected areas requires special environmental assessment. Please attend our office hours tomorrow to discuss alternatives, as northwest Nemo Reef has recently received heightened protection status.",4,vessel
102,Samantha Blake,2040-10-02 08:59:00,"Samantha, this is Oceanus City Council. Regarding your Nemo Reef permit application - filming in protected areas requires special environmental assessment. Please attend our office hours tomorrow to discuss alternatives, as northwest Nemo Reef has recently received heightened protection status.",4,person
103,Samantha Blake,2040-10-02 09:02:00,"Hi Sailor Shifts Team, Samantha Blake here. The City Council has concerns about Nemo Reef's northwest section due to heightened protection status. I'm meeting with them tomorrow to discuss alternatives. Will update you after the meeting.",4,person
103,Sailor Shifts Team,2040-10-02 09:02:00,"Hi Sailor Shifts Team, Samantha Blake here. The City Council has concerns about Nemo Reef's northwest section due to heightened protection status. I'm meeting with them tomorrow to discuss alternatives. Will update you after the meeting.",4,vessel
106,Green Guardians,2040-10-02 09:59:00,"EcoVigil, this is Green Guardians HQ. We're documenting multiple protected zone violations at Nemo Reef. Please coordinate with Horizon to establish a monitoring station at the eastern boundary for the next week. Send daily reports directly to headquarters.",4,vessel
106,EcoVigil,2040-10-02 09:59:00,"EcoVigil, this is Green Guardians HQ. We're documenting multiple protected zone violations at Nemo Reef. Please coordinate with Horizon to establish a monitoring station at the eastern boundary for the next week. Send daily reports directly to headquarters.",4,vessel
109,EcoVigil,2040-10-02 10:02:00,"Horizon, this is EcoVigil. Green Guardians has tasked us to establish a monitoring station with you at Nemo Reef's eastern boundary. Can we coordinate equipment and schedules for the week-long operation? Standing by for your response.",4,vessel
109,Horizon,2040-10-02 10:02:00,"Horizon, this is EcoVigil. Green Guardians has tasked us to establish a monitoring station with you at Nemo Reef's eastern boundary. Can we coordinate equipment and schedules for the week-long operation? Standing by for your response.",4,vessel
110,Horizon,2040-10-02 10:04:00,"EcoVigil, Horizon here. Affirmative on joint monitoring station. I can provide sonar equipment and water quality sensors. Suggest setup tomorrow at 0800 at coordinates 27.45N, 82.32W. Can accommodate two of your technicians onboard. What equipment are you bringing?",4,vessel
110,EcoVigil,2040-10-02 10:04:00,"EcoVigil, Horizon here. Affirmative on joint monitoring station. I can provide sonar equipment and water quality sensors. Suggest setup tomorrow at 0800 at coordinates 27.45N, 82.32W. Can accommodate two of your technicians onboard. What equipment are you bringing?",4,vessel
111,EcoVigil,2040-10-02 10:06:00,"Horizon, EcoVigil here. We'll meet you tomorrow at 0800 at the coordinates. Bringing underwater cameras, GPS tracking buoys, and two marine biologists. Do you have recent activity logs from the area we should review before deployment?",4,vessel
111,Horizon,2040-10-02 10:06:00,"Horizon, EcoVigil here. We'll meet you tomorrow at 0800 at the coordinates. Bringing underwater cameras, GPS tracking buoys, and two marine biologists. Do you have recent activity logs from the area we should review before deployment?",4,vessel
112,Horizon,2040-10-02 10:09:00,"EcoVigil, Horizon here. Yes, I have activity logs from the past 72 hours showing increased vessel traffic. Will prepare data visualization of hotspots. Also bringing underwater drones for reef inspection. How long will your team need for setup?",4,vessel
112,EcoVigil,2040-10-02 10:09:00,"EcoVigil, Horizon here. Yes, I have activity logs from the past 72 hours showing increased vessel traffic. Will prepare data visualization of hotspots. Also bringing underwater drones for reef inspection. How long will your team need for setup?",4,vessel
